trade_id,asset,side,entry_time,exit_time,holding_bars,entry_price,exit_price,high_during_trade,low_during_trade,position_fraction,leverage_used,effective_position,notional_value,margin_used,tp_price,sl_price,risk_reward_ratio,exit_reason,gross_pnl,transaction_cost_total,net_pnl,return_pct,reward_total,reward_pnl_total,reward_transaction_cost_total,reward_drawdown_penalty_total,reward_overtrading_penalty_total,reward_missed_opportunity_penalty_total,reward_wrong_side_penalty_total,reward_tp_bonus_total,reward_sl_penalty_total,portfolio_value_before,portfolio_value_after,max_favorable_excursion,max_adverse_excursion,predicted_log_return_at_entry,signal_strength_at_entry,direction_action_at_entry,size_label_at_entry,risk_profile_at_entry
1,BTC,SHORT,2026-02-11 20:15:00+00:00,2026-02-11 21:00:00+00:00,3,67583.7890625,67794.1328125,68268.375,67430.59375,0.25,1.0,0.25,2500.0,2500.0,66888.09672546387,68047.58395385742,1.5,AGENT_RESIZE,-15.561701475887602,4.999375000000001,-20.561076475887603,-0.00822443059035504,-0.012211787162347665,-0.001556170147588786,0.0005,0.0,0.01,0.0,0.00015561701475887862,0.0,0.0,10000.0,9979.438923524112,0.0,-0.003112340295177572,0.0,0.0,SHORT,SMALL,CONSERVATIVE
2,BTC,SHORT,2026-02-11 21:00:00+00:00,2026-02-11 21:15:00+00:00,1,67794.1328125,67794.1328125,67794.1328125,67794.1328125,0.5,1.0,0.5,5000.0,5000.0,66678.8412475586,68537.66052246094,1.5,AGENT_RESIZE,-1.887379141862766e-13,2.494859730881028,-2.494859730881217,-0.0004989719461762433,-0.00525,0.0,0.00025,0.0,0.005,0.0,0.0,0.0,0.0,9979.438923524112,9976.944063793231,0.0,0.0,0.0,0.0,SHORT,MEDIUM,CONSERVATIVE
3,BTC,SHORT,2026-02-11 21:15:00+00:00,2026-02-11 23:00:00+00:00,7,67794.1328125,66993.1875,67806.4453125,66757.3046875,0.25,1.0,0.25,2500.0,2500.0,67098.44047546387,68257.92770385742,1.5,TP,13.657789108547012,4.991262920169765,8.666526188377247,0.003466610475350899,-0.007134221089145229,0.0013657789108547718,0.0005,0.0,0.01,0.0,0.0,0.002,0.0,9976.944063793231,9985.610589981608,0.011814375068638984,0.0,0.0,0.0,SHORT,SMALL,CONSERVATIVE
4,BTC,LONG,2026-02-12 01:00:00+00:00,2026-02-12 03:00:00+00:00,8,67642.1875,67529.8125,67986.8359375,67296.359375,0.25,1.0,0.25,2500.0,2500.0,69276.64294433594,66552.55053710938,1.5,AGENT_CLOSE,17.367995186612504,4.996523193125583,12.37147199348692,0.0049485887973947686,-0.008941840383396824,0.001736799518661342,0.0005,0.0,0.01,0.0,0.00017863990205816452,0.0,0.0,9985.610589981608,9997.982061975095,0.0,-0.00357279804116329,0.0,0.0,LONG,SMALL,CONSERVATIVE
5,BTC,LONG,2026-02-12 09:00:00+00:00,2026-02-12 11:00:00+00:00,8,67534.078125,68084.796875,68204.9609375,67020.9140625,0.25,1.0,0.25,2500.0,2500.0,68715.31951904297,66746.58386230469,1.5,AGENT_REVERSE,3.6621223753903216,15.03169077839841,-11.369568403008088,-0.004547827361203236,-0.031133787762460945,0.0003662122375390569,0.0015,0.0,0.030000000000000002,0.0,0.0,0.0,0.0,9997.982061975095,9986.612493572087,0.008154679315836149,0.0,0.0,0.0,LONG,SMALL,CONSERVATIVE
6,BTC,SHORT,2026-02-12 11:00:00+00:00,2026-02-12 13:00:00+00:00,8,68084.796875,68315.1328125,68315.1328125,67673.9765625,0.5,2.0,1.0,10000.0,5000.0,65099.09375,69577.6484375,2.0,AGENT_REVERSE,117.55408792943376,20.056632006929018,97.49745592250474,0.009749745592250475,-0.030623844097241698,0.011755408792943373,0.002,0.0,0.04,0.0,0.00037925289018506635,0.0,0.0,9986.612493572087,10084.109949494592,0.004170350989242046,-0.003383074461144157,0.0,0.0,SHORT,MEDIUM,AGGRESSIVE
7,BTC,LONG,2026-02-12 13:00:00+00:00,2026-02-12 14:00:00+00:00,4,68315.1328125,67697.4140625,68324.65625,67503.6875,0.5,2.0,1.0,10000.0,5000.0,71179.43872070312,66882.97985839844,2.0,AGENT_REVERSE,90.42194965724585,20.168219898989186,70.25372975825667,0.007025372975825667,-0.033409914782561556,0.009042194965724674,0.002,0.0,0.04,0.0,0.0004521097482862337,0.0,0.0,10084.109949494592,10154.363679252849,0.0,-0.009042194965724674,0.0,0.0,LONG,MEDIUM,AGGRESSIVE
8,BTC,SHORT,2026-02-12 14:00:00+00:00,2026-02-12 16:15:00+00:00,9,67697.4140625,65785.0078125,67942.7578125,65546.3671875,0.5,2.0,1.0,10000.0,5000.0,64803.138916015625,69144.55163574219,2.0,AGENT_REVERSE,284.1955877581803,14.353018992140166,269.84256876604013,0.026984256876604013,-0.0004554412241818094,0.028419558775818192,0.001375,0.0,0.0275,0.0,0.0,0.0,0.0,10154.363679252849,10424.206248018889,0.028249324977678132,0.0,0.0,0.0,SHORT,MEDIUM,AGGRESSIVE
9,BTC,LONG,2026-02-12 16:15:00+00:00,2026-02-12 20:00:00+00:00,15,65785.0078125,65356.19921875,66166.015625,65109.65625,0.25,1.5,0.375,3750.0,2500.0,66944.49504089355,65089.31547546387,1.6666666666666667,AGENT_CLOSE,-0.1300955860839248,3.909028557162302,-4.039124143246227,-0.0010770997715323272,-0.008467759536468633,-1.300955860836857e-05,0.000375,0.0,0.0075,0.0,0.0005797499778602655,0.0,0.0,10424.206248018889,10420.167123875643,0.0,-0.006518333097598581,0.0,0.0,LONG,SMALL,BALANCED
10,BTC,LONG,2026-02-12 21:00:00+00:00,2026-02-12 21:15:00+00:00,1,65735.375,65735.375,65820.4453125,65338.66015625,0.25,1.5,0.375,3750.0,2500.0,67620.12673950195,64604.52395629883,1.6666666666666667,AGENT_CLOSE,21.756301570234413,7.821818619993776,13.934482950240636,0.0037158621200641694,-0.013574369842976473,0.0021756301570235274,0.00075,0.0,0.015,0.0,0.0,0.0,0.0,10420.167123875643,10434.101606825883,0.0,0.0,0.0,0.0,LONG,SMALL,BALANCED
