trade_id,asset,side,entry_time,exit_time,holding_bars,entry_price,exit_price,high_during_trade,low_during_trade,position_fraction,leverage_used,effective_position,notional_value,margin_used,tp_price,sl_price,risk_reward_ratio,exit_reason,gross_pnl,transaction_cost_total,net_pnl,return_pct,reward_total,reward_pnl_total,reward_transaction_cost_total,reward_drawdown_penalty_total,reward_overtrading_penalty_total,reward_missed_opportunity_penalty_total,reward_wrong_side_penalty_total,reward_tp_bonus_total,reward_sl_penalty_total,portfolio_value_before,portfolio_value_after,max_favorable_excursion,max_adverse_excursion,predicted_log_return_at_entry,signal_strength_at_entry,direction_action_at_entry,size_label_at_entry,risk_profile_at_entry
1,ETH,LONG,2026-02-13 15:00:00+00:00,2026-02-13 15:15:00+00:00,1,2031.1822509765625,2031.1822509765625,2048.984130859375,1986.383544921875,0.5,2.0,1.0,10000.0,5000.0,2117.6858520507812,1987.9304504394531,2.0,AGENT_CLOSE,0.0,20.208960193488707,-20.208960193488707,-0.002020896019348871,-0.020103980651129155,0.021896019348870848,0.002,0.0,0.04,0.0,0.0,0.0,0.0,10000.0,9979.79103980651,0.0,0.0,0.0,0.0,LONG,MEDIUM,AGGRESSIVE
2,ETH,SHORT,2026-02-23 01:00:00+00:00,2026-02-23 06:00:00+00:00,20,1863.36181640625,1879.2552490234375,1924.3255615234375,1854.427490234375,0.5,1.0,0.5,5099.37561664761,5000.0,1841.465786933899,1877.9591693878174,1.5,SL,-43.49481782836317,10.281525410157279,-53.77634323852045,-0.010545672113848647,-0.009463705746507066,0.017064772934077148,0.001,0.0,0.02,0.0,0.0005284786805842159,0.0,0.005,10198.75123329522,10144.9748900567,0.002041381858488823,-0.008529439895811633,0.0,0.0,SHORT,MEDIUM,CONSERVATIVE
3,ETH,LONG,2026-02-25 01:00:00+00:00,2026-02-25 01:15:00+00:00,1,1919.2947998046875,1919.2947998046875,1921.046630859375,1851.5255126953125,1.0,2.0,2.0,20718.234874451664,10000.0,1997.6285095214844,1880.127944946289,2.0,AGENT_CLOSE,0.0,42.845747086279985,-42.845747086279985,-0.0020680211101918957,-0.011464309643721915,0.07253569035627809,0.004,0.0,0.08,0.0,0.0,0.0,0.0,10359.117437225832,10316.271690139552,0.0,0.0,0.0,0.0,LONG,LARGE,AGGRESSIVE
4,ETH,SHORT,2026-02-28 06:00:00+00:00,2026-02-28 07:15:00+00:00,5,1838.447509765625,1867.3154296875,1920.298828125,1838.447509765625,0.5,1.0,0.5,5520.814296851167,5000.0,1787.0684928894043,1872.7001876831055,1.5,AGENT_CLOSE,-86.689679296506,11.105052672964952,-97.79473196947094,-0.017713823851175148,-0.008548219501613425,0.013236897282209118,0.001,0.0,0.02,0.0,0.0007851167838225427,0.0,0.0,11041.628593702333,10943.833861732863,0.0,-0.01570233567645085,0.0,0.0,SHORT,MEDIUM,CONSERVATIVE
5,ETH,LONG,2026-03-01 01:00:00+00:00,2026-03-01 01:15:00+00:00,1,2005.623046875,2005.623046875,2013.092529296875,1946.2889404296875,0.25,2.0,0.5,5581.446256925729,2500.0,2119.0145263671875,1948.9273071289062,2.0,AGENT_CLOSE,0.0,11.214135958250694,-11.214135958250694,-0.0020091810333810254,-0.010193166494460459,0.010806833505539543,0.001,0.0,0.02,0.0,0.0,0.0,0.0,11162.892513851459,11151.678377893208,0.0,0.0,0.0,0.0,LONG,SMALL,AGGRESSIVE
6,ETH,LONG,2026-03-02 14:00:00+00:00,2026-03-02 14:15:00+00:00,1,1977.7510986328125,1977.7510986328125,1983.299560546875,1922.4390869140625,0.5,2.0,1.0,11259.746712948605,5000.0,2075.3748092651367,1928.9392433166504,2.0,AGENT_CLOSE,0.0,22.770140125586465,-22.770140125586465,-0.002022260420778472,-0.015809355359779655,0.026190644640220348,0.002,0.0,0.04,0.0,0.0,0.0,0.0,11259.746712948605,11236.976572823018,0.0,0.0,0.0,0.0,LONG,MEDIUM,AGGRESSIVE
7,ETH,LONG,2026-03-02 15:00:00+00:00,2026-03-02 15:15:00+00:00,1,2045.9365234375,2045.9365234375,2061.41357421875,1978.1451416015625,1.0,2.0,2.0,22997.76603845044,10000.0,2160.490676879883,1988.6594467163086,2.0,AGENT_CLOSE,0.0,47.32858621091843,-47.32858621091843,-0.0020579645054127774,-0.015047516695277804,0.0689524833047222,0.004,0.0,0.08,0.0,0.0,0.0,0.0,11498.88301922522,11451.554433014302,0.0,0.0,0.0,0.0,LONG,LARGE,AGGRESSIVE
8,ETH,LONG,2026-03-02 16:00:00+00:00,2026-03-02 16:15:00+00:00,1,2062.864013671875,2062.864013671875,2082.920654296875,2046.16552734375,0.5,1.0,0.5,6070.539633030762,5000.0,2106.7159910202026,2033.6293621063232,1.5,AGENT_CLOSE,0.0,12.158728277062693,-12.158728277062693,-0.0020029073216003956,-0.016863143836463187,0.004136856163536812,0.001,0.0,0.02,0.0,0.0,0.0,0.0,12141.079266061524,12128.920537784461,0.0,0.0,0.0,0.0,LONG,MEDIUM,CONSERVATIVE
9,ETH,LONG,2026-03-04 08:00:00+00:00,2026-03-04 08:15:00+00:00,1,2063.066650390625,2063.066650390625,2063.066650390625,2002.3509521484375,1.0,2.0,2.0,24340.578198839663,10000.0,2196.9810485839844,1996.1094512939453,2.0,AGENT_CLOSE,0.0,49.80040649490958,-49.80040649490958,-0.002045982888659712,-0.025603437318603088,0.05839656268139692,0.004,0.0,0.08,0.0,0.0,0.0,0.0,12170.289099419831,12120.488692924922,0.0,0.0,0.0,0.0,LONG,LARGE,AGGRESSIVE
10,ETH,LONG,2026-03-04 15:00:00+00:00,2026-03-04 15:15:00+00:00,1,2155.665771484375,2155.665771484375,2155.665771484375,2078.9296875,0.25,1.5,0.375,4764.170369902084,2500.0,2240.3406734466553,2104.860830307007,1.6666666666666667,AGENT_CLOSE,0.0,9.578607003481842,-9.578607003481842,-0.0020105508954917388,-0.001869245982296902,0.013880754017703098,0.00075,0.0,0.015,0.0,0.0,0.0,0.0,12704.45431973889,12694.87571273541,0.0,0.0,0.0,0.0,LONG,SMALL,BALANCED
11,ETH,SHORT,2026-03-06 14:00:00+00:00,2026-03-06 18:15:00+00:00,17,1975.8291015625,1974.7005615234375,2021.852294921875,1957.0985107421875,0.5,1.0,0.5,6416.841626456219,5000.0,1943.2589302062988,1997.5425491333008,1.5,AGENT_CLOSE,3.6651260445814966,12.892308164497624,-9.227182119916128,-0.0014379632001315192,-0.008818114558990052,0.01236666647968271,0.001,0.0,0.02,0.0,0.0001847810386727607,0.0,0.0,12833.683252912439,12824.456070792523,0.004251083282383928,-0.0006073770455341878,0.0,0.0,SHORT,MEDIUM,CONSERVATIVE
12,ETH,LONG,2026-03-10 14:00:00+00:00,2026-03-10 14:15:00+00:00,1,2075.33203125,2075.33203125,2077.504638671875,2011.8948974609375,0.25,1.5,0.375,4854.171603579288,2500.0,2131.0064029693604,2041.9274082183838,1.6666666666666667,AGENT_CLOSE,0.0,9.734919083832121,-9.734919083832121,-0.002005474853145684,-0.008177682393363568,0.007572317606636432,0.00075,0.0,0.015,0.0,0.0,0.0,0.0,12944.457609544768,12934.722690460936,0.0,0.0,0.0,0.0,LONG,SMALL,BALANCED
13,ETH,LONG,2026-03-13 00:00:00+00:00,2026-03-13 00:15:00+00:00,1,2115.58935546875,2115.58935546875,2145.611572265625,2071.806396484375,1.0,2.0,2.0,26020.8917330546,10000.0,2213.0435791015625,2066.8622436523438,2.0,AGENT_CLOSE,0.0,52.79578480457743,-52.79578480457743,-0.0020289767678296133,-0.04369784390328321,0.04030215609671679,0.004,0.0,0.08,0.0,0.0,0.0,0.0,13010.4458665273,12957.650081722722,0.0,0.0,0.0,0.0,LONG,LARGE,AGGRESSIVE
14,ETH,LONG,2026-03-16 03:00:00+00:00,2026-03-16 03:15:00+00:00,1,2238.13525390625,2238.13525390625,2245.39892578125,2178.6201171875,0.25,2.0,0.5,6680.3358213449455,2500.0,2362.0998153686523,2176.152973175049,2.0,AGENT_CLOSE,0.0,13.421979192625397,-13.421979192625397,-0.0020091773155684204,-0.008070456430764487,0.012929543569235515,0.001,0.0,0.02,0.0,0.0,0.0,0.0,13360.671642689891,13347.249663497265,0.0,0.0,-0.00018693887977860868,0.00018693887977860868,LONG,SMALL,AGGRESSIVE
15,ETH,SHORT,2026-03-18 14:00:00+00:00,2026-03-18 19:45:00+00:00,23,2193.118896484375,2184.00732421875,2236.08837890625,2170.0732421875,0.5,2.0,1.0,13476.54509918962,5000.0,2105.88818359375,2236.7342529296875,2.0,AGENT_CLOSE,55.989903127942654,27.15821536592287,28.831687762019783,0.002139397564421278,-0.02077933099588578,0.021860171264281917,0.002,0.0,0.04,0.0,0.0006395022601676903,0.0,0.0,13476.54509918962,13505.37678695164,0.0071032943839011735,-0.004878874186450763,0.004947072826325893,0.004947072826325893,SHORT,MEDIUM,AGGRESSIVE
16,ETH,LONG,2026-03-23 11:00:00+00:00,2026-03-23 11:15:00+00:00,1,2135.480224609375,2135.480224609375,2190.022705078125,2048.539306640625,0.5,2.0,1.0,13667.988596466517,5000.0,2241.0862197875977,2082.6772270202637,2.0,AGENT_CLOSE,0.0,27.74525035241876,-27.74525035241876,-0.0020299439201750236,0.0002941148082190176,0.04229411480821902,0.002,0.0,0.04,0.0,0.0,0.0,0.0,13667.988596466517,13640.243346114099,0.0,0.0,0.0013033105060458183,0.0013033105060458183,LONG,MEDIUM,AGGRESSIVE
17,ETH,LONG,2026-04-07 22:00:00+00:00,2026-04-07 23:00:00+00:00,1,2207.716064453125,2242.276611328125,2266.74609375,2144.705810546875,1.0,2.0,2.0,28126.36898839258,10000.0,2291.7038345336914,2165.722179412842,2.0,AGENT_RESIZE,440.3024055032541,53.71374143357207,386.588664069682,0.013744705696964388,-0.016206635560251023,0.06254336443974898,0.00375,0.0,0.07500000000000001,0.0,0.0,0.0,0.0,14063.18449419629,14449.773158265973,0.015654434658272515,0.0,-0.005484298802912235,0.005484298802912235,LONG,LARGE,AGGRESSIVE
