trade_id,asset,side,entry_time,exit_time,holding_bars,entry_price,exit_price,high_during_trade,low_during_trade,position_fraction,leverage_used,effective_position,notional_value,margin_used,tp_price,sl_price,risk_reward_ratio,exit_reason,gross_pnl,transaction_cost_total,net_pnl,return_pct,reward_total,reward_pnl_total,reward_transaction_cost_total,reward_drawdown_penalty_total,reward_overtrading_penalty_total,reward_missed_opportunity_penalty_total,reward_wrong_side_penalty_total,reward_tp_bonus_total,reward_sl_penalty_total,portfolio_value_before,portfolio_value_after,max_favorable_excursion,max_adverse_excursion,predicted_log_return_at_entry,signal_strength_at_entry,direction_action_at_entry,size_label_at_entry,risk_profile_at_entry
1,GOLD,LONG,2026-01-30 05:45:00+00:00,2026-01-30 06:00:00+00:00,1,5212.39990234375,5183.89990234375,5232.7001953125,5171.39990234375,0.5,1.0,0.5,5000.0,5000.0,5254.97253036499,5184.01815032959,1.5,SL,-27.338654491173067,9.9975,-37.33615449117307,-0.0074672308982346135,-0.02627338654491173,0.0,0.001,0.0,0.02,0.0,0.0002733865449117307,0.0,0.005,10000.0,9962.663845508827,0.0,-0.005467730898234613,0.0,0.0,LONG,MEDIUM,CONSERVATIVE
2,GOLD,LONG,2026-01-30 06:15:00+00:00,2026-01-30 07:00:00+00:00,3,5183.89990234375,5209.2001953125,5215.0,5143.7001953125,0.5,1.0,0.5,4995.00125,5000.0,5226.47253036499,5155.51815032959,1.5,AGENT_RESIZE,24.378363275713653,14.980008748750002,9.39835452696365,0.001881551986991725,-0.02417917201951241,0.007320827980487589,0.0015,0.0,0.03,0.0,0.0,0.0,0.0,9990.0025,9999.400854526964,0.004880551986991726,0.0,0.0,0.0,LONG,MEDIUM,CONSERVATIVE
3,GOLD,LONG,2026-01-30 07:00:00+00:00,2026-01-30 07:15:00+00:00,1,5209.2001953125,5209.2001953125,5209.2001953125,5209.2001953125,1.0,1.5,1.5,15072.34615658419,10000.0,5411.86735534668,5087.599899291992,1.6666666666666667,AGENT_RESIZE,0.0,10.048230771056128,-10.048230771056128,-0.0006666666666666668,-0.021,0.0,0.001,0.0,0.02,0.0,0.0,0.0,0.0,10048.230771056127,10038.182540285072,0.0,0.0,0.0,0.0,LONG,LARGE,BALANCED
4,GOLD,LONG,2026-01-30 07:15:00+00:00,2026-01-30 08:00:00+00:00,3,5209.2001953125,5145.0,5209.2001953125,5075.10009765625,0.5,1.0,0.5,5019.091270142536,5000.0,5251.77282333374,5180.81844329834,1.5,SL,-61.85721948723918,5.019091270142536,-66.87631075738172,-0.013324386259961858,-0.016116219312998094,0.0,0.0005,0.0,0.01,0.0,0.0006162193129980929,0.0,0.005,10038.182540285072,9971.30622952769,0.0,-0.012324386259961857,0.0,0.0,LONG,MEDIUM,CONSERVATIVE
5,GOLD,LONG,2026-01-30 08:15:00+00:00,2026-01-30 08:45:00+00:00,2,5145.0,5145.0,5145.0,5145.0,0.5,2.0,1.0,10033.16344901493,5000.0,5258.527008056641,5088.23649597168,2.0,AGENT_RESIZE,0.0,10.03316344901493,-10.03316344901493,-0.001,-0.021,0.0,0.001,0.0,0.02,0.0,0.0,0.0,0.0,10033.16344901493,10023.130285565914,0.0,0.0,0.0,0.0,LONG,MEDIUM,AGGRESSIVE
6,GOLD,LONG,2026-01-30 08:45:00+00:00,2026-01-30 09:00:00+00:00,1,5145.0,5040.0,5161.5,4962.7001953125,1.0,1.0,1.0,10023.130285565914,10000.0,5187.57262802124,5116.61824798584,1.5,SL,-204.55367929726353,10.023130285565914,-214.57680958282944,-0.021408163265306118,-0.027020408163265307,0.0,0.001,0.0,0.02,0.0,0.001020408163265306,0.0,0.005,10023.130285565914,9808.553475983084,0.0,-0.02040816326530612,0.0,0.0,LONG,LARGE,CONSERVATIVE
7,GOLD,LONG,2026-01-30 09:15:00+00:00,2026-01-30 09:30:00+00:00,1,5040.0,5040.0,5040.0,5040.0,0.25,1.0,0.25,2503.276788820087,2500.0,5082.57262802124,5011.61824798584,1.5,AGENT_RESIZE,0.0,5.005927758442969,-5.005927758442969,-0.00199975,-0.0105,0.0,0.0005,0.0,0.01,0.0,0.0,0.0,0.0,10013.107155280348,10008.101227521905,0.0,0.0,0.0,0.0,LONG,SMALL,CONSERVATIVE
8,GOLD,LONG,2026-01-30 09:30:00+00:00,2026-01-30 09:45:00+00:00,1,5040.0,5040.0,5040.0,5040.0,0.5,1.0,0.5,5004.050613760952,5000.0,5082.57262802124,5011.61824798584,1.5,AGENT_REVERSE,0.0,15.012151841282856,-15.012151841282856,-0.003,-0.0315,0.0,0.0015,0.0,0.03,0.0,0.0,0.0,0.0,10008.101227521904,9993.08907568062,0.0,0.0,0.0,0.0,LONG,MEDIUM,CONSERVATIVE
9,GOLD,SHORT,2026-01-30 09:45:00+00:00,2026-01-30 10:00:00+00:00,1,5040.0,5147.7001953125,5150.2001953125,5027.0,1.0,1.0,1.0,9993.08907568062,10000.0,4997.42737197876,5068.38175201416,1.5,SL,-213.54318357658985,9.99308907568062,-223.53627265227047,-0.022369086371527777,-0.02706845431857639,0.0,0.001,0.0,0.02,0.0,0.001068454318576389,0.0,0.005,9993.08907568062,9769.55280302835,0.0,-0.021369086371527776,0.0,0.0,SHORT,LARGE,CONSERVATIVE
10,GOLD,LONG,2026-01-30 10:15:00+00:00,2026-01-30 10:45:00+00:00,2,5147.7001953125,5147.7001953125,5147.7001953125,5147.7001953125,0.25,2.0,0.5,4991.54799330247,2500.0,5261.227203369141,5090.93669128418,2.0,AGENT_RESIZE,0.0,4.99154799330247,-4.99154799330247,-0.001,-0.0105,0.0,0.0005,0.0,0.01,0.0,0.0,0.0,0.0,9983.09598660494,9978.104438611637,0.0,0.0,0.0,0.0,LONG,SMALL,AGGRESSIVE
11,GOLD,LONG,2026-01-30 10:45:00+00:00,2026-01-30 11:00:00+00:00,1,5147.7001953125,5164.7001953125,5173.89990234375,5114.7001953125,0.5,1.0,0.5,4989.052219305819,5000.0,5190.27282333374,5119.31844329834,1.5,AGENT_RESIZE,16.476073685377116,9.978104438611638,6.497969246765479,0.0013024456271715696,-0.016046331559242646,0.004953668440757355,0.001,0.0,0.02,0.0,0.0,0.0,0.0,9978.104438611637,9984.602407858403,0.0033024456271715697,0.0,0.0,0.0,LONG,MEDIUM,CONSERVATIVE
12,GOLD,LONG,2026-01-30 11:00:00+00:00,2026-01-30 11:15:00+00:00,1,5164.7001953125,5164.7001953125,5164.7001953125,5164.7001953125,1.0,1.5,1.5,15026.494527870902,10000.0,5396.158897399902,5025.824974060059,1.6666666666666667,AGENT_RESIZE,0.0,12.52207877322575,-12.52207877322575,-0.0008333333333333333,-0.026250000000000002,0.0,0.00125,0.0,0.025,0.0,0.0,0.0,0.0,10017.6630185806,10005.140939807376,0.0,0.0,0.0,0.0,LONG,LARGE,BALANCED
13,GOLD,LONG,2026-01-30 11:15:00+00:00,2026-01-30 11:30:00+00:00,1,5164.7001953125,5164.7001953125,5164.7001953125,5164.7001953125,0.25,1.0,0.25,2501.285234951844,2500.0,5207.27282333374,5136.31844329834,1.5,AGENT_RESIZE,0.0,2.501285234951844,-2.501285234951844,-0.001,-0.00525,0.0,0.00025,0.0,0.005,0.0,0.0,0.0,0.0,10005.140939807376,10002.639654572424,0.0,0.0,0.0,0.0,LONG,SMALL,CONSERVATIVE
14,GOLD,LONG,2026-01-30 11:30:00+00:00,2026-01-30 11:45:00+00:00,1,5164.7001953125,5164.7001953125,5164.7001953125,5164.7001953125,0.5,1.0,0.5,5001.319827286212,5000.0,5207.27282333374,5136.31844329834,1.5,AGENT_REVERSE,0.0,10.002639654572423,-10.002639654572423,-0.002,-0.021,0.0,0.001,0.0,0.02,0.0,0.0,0.0,0.0,10002.639654572424,9992.637014917851,0.0,0.0,0.0,0.0,LONG,MEDIUM,CONSERVATIVE
15,GOLD,SHORT,2026-01-30 11:45:00+00:00,2026-01-30 12:00:00+00:00,1,5164.7001953125,5092.0,5175.60009765625,5082.60009765625,0.5,1.0,0.5,4996.3185074589255,5000.0,5122.12756729126,5193.08194732666,1.5,TP,70.3299935329052,4.996318507458926,65.33367502544628,0.013076363111741308,-0.0085,0.0,0.0005,0.0,0.01,0.0,0.0,0.002,0.0,9992.637014917851,10057.970689943297,0.014076363111741307,0.0,0.0,0.0,SHORT,MEDIUM,CONSERVATIVE
16,GOLD,LONG,2026-01-30 12:15:00+00:00,2026-01-30 12:30:00+00:00,1,5092.0,5092.0,5092.0,5092.0,0.5,2.0,1.0,9987.640696410392,5000.0,5205.527008056641,5035.23649597168,2.0,AGENT_RESIZE,0.0,14.976467224267381,-14.976467224267381,-0.0014995,-0.0315,0.0,0.0015,0.0,0.03,0.0,0.0,0.0,0.0,9987.640696410392,9972.664229186124,0.0,0.0,0.0,0.0,LONG,MEDIUM,AGGRESSIVE
17,GOLD,LONG,2026-01-30 12:30:00+00:00,2026-01-30 12:45:00+00:00,1,5092.0,5092.0,5092.0,5092.0,0.25,2.0,0.5,4986.332114593062,2500.0,5205.527008056641,5035.23649597168,2.0,AGENT_REVERSE,0.0,9.972664229186124,-9.972664229186124,-0.002,-0.021,0.0,0.001,0.0,0.02,0.0,0.0,0.0,0.0,9972.664229186124,9962.691564956938,0.0,0.0,0.0,0.0,LONG,SMALL,AGGRESSIVE
18,GOLD,SHORT,2026-01-30 12:45:00+00:00,2026-01-30 13:00:00+00:00,1,5092.0,5045.60009765625,5127.7998046875,5018.2998046875,0.5,1.0,0.5,4981.345782478469,5000.0,5049.42737197876,5120.38175201416,1.5,TP,45.391586380096605,4.981345782478469,40.410240597618134,0.008112313893116655,-0.0085,0.0,0.0005,0.0,0.01,0.0,0.0,0.002,0.0,9962.691564956938,10003.101805554556,0.009112313893116654,0.0,0.0,0.0,SHORT,MEDIUM,CONSERVATIVE
19,GOLD,SHORT,2026-01-30 13:15:00+00:00,2026-01-30 14:00:00+00:00,3,5045.60009765625,5061.0,5142.2998046875,5039.60009765625,0.5,1.0,0.5,4978.85510958723,5000.0,5003.02746963501,5073.98184967041,1.5,AGENT_REVERSE,-15.196186972277115,13.68749505314399,-28.883682025421106,-0.005801269848122914,-0.027883052924360052,0.001144554318046093,0.001375,0.0,0.027500000000000004,0.0,0.00015260724240614575,0.0,0.0,9957.71021917446,9928.826537149038,0.0,-0.003052144848122915,0.0,0.0,SHORT,MEDIUM,CONSERVATIVE
20,GOLD,LONG,2026-01-30 14:00:00+00:00,2026-01-30 14:15:00+00:00,1,5061.0,5061.0,5061.0,5061.0,0.25,1.5,0.375,3733.300600238166,2500.0,5297.134338378906,4919.319396972656,1.6666666666666667,AGENT_RESIZE,0.0,1.2444335334127221,-1.2444335334127221,-0.0003333333333333333,-0.002625,0.0,0.000125,0.0,0.0025,0.0,0.0,0.0,0.0,9955.468267301776,9954.223833768363,0.0,0.0,0.0,0.0,LONG,SMALL,BALANCED
21,GOLD,LONG,2026-01-30 14:15:00+00:00,2026-01-30 15:00:00+00:00,3,5061.0,5067.5,5088.0,5006.2998046875,0.5,1.0,0.5,4977.1119168841815,5000.0,5103.57262802124,5032.61824798584,1.5,AGENT_RESIZE,6.392259920914282,9.954223833768364,-3.5619639128540816,-0.000715668840150168,-0.019073503260225253,0.0019264967397747482,0.001,0.0,0.02,0.0,0.0,0.0,0.0,9954.223833768363,9950.661869855508,0.001284331159849832,0.0,0.0,0.0,LONG,MEDIUM,CONSERVATIVE
22,GOLD,LONG,2026-01-30 15:00:00+00:00,2026-01-30 15:15:00+00:00,1,5067.5,5067.5,5067.5,5067.5,1.0,1.5,1.5,14945.30186599851,10000.0,5301.3569259643555,4927.185844421387,1.6666666666666667,AGENT_RESIZE,0.0,4.981767288666171,-4.981767288666171,-0.0003333333333333334,-0.0105,0.0,0.0005,0.0,0.01,0.0,0.0,0.0,0.0,9963.53457733234,9958.552810043675,0.0,0.0,0.0,0.0,LONG,LARGE,BALANCED
23,GOLD,LONG,2026-01-30 15:15:00+00:00,2026-01-30 16:45:00+00:00,6,5067.5,5067.5,5067.5,5067.5,0.5,2.0,1.0,9958.552810043675,5000.0,5181.027008056641,5010.73649597168,2.0,AGENT_RESIZE,0.0,27.35616074748189,-27.35616074748189,-0.002747001624562547,-0.05775,0.0,0.00275,0.0,0.055,0.0,0.0,0.0,0.0,9958.552810043675,9931.196649296193,0.0,0.0,0.0,0.0,LONG,MEDIUM,AGGRESSIVE
24,GOLD,LONG,2026-01-30 16:45:00+00:00,2026-01-30 17:45:00+00:00,4,5067.5,5067.5,5067.5,5067.5,0.25,1.0,0.25,2482.799162324048,2500.0,5110.07262802124,5039.11824798584,1.5,AGENT_RESIZE,0.0,2.4827991623240484,-2.4827991623240484,-0.001,-0.00525,0.0,0.00025,0.0,0.005,0.0,0.0,0.0,0.0,9931.196649296193,9928.713850133869,0.0,0.0,0.0,0.0,LONG,SMALL,CONSERVATIVE
25,GOLD,LONG,2026-01-30 17:45:00+00:00,2026-01-30 18:00:00+00:00,1,5067.5,5067.5,5067.5,5067.5,0.5,1.0,0.5,4964.356925066934,5000.0,5110.07262802124,5039.11824798584,1.5,AGENT_RESIZE,0.0,4.964356925066935,-4.964356925066935,-0.001,-0.0105,0.0,0.0005,0.0,0.01,0.0,0.0,0.0,0.0,9928.713850133869,9923.749493208801,0.0,0.0,0.0,0.0,LONG,MEDIUM,CONSERVATIVE
