trade_id,asset,side,entry_time,exit_time,holding_bars,entry_price,exit_price,high_during_trade,low_during_trade,position_fraction,leverage_used,effective_position,notional_value,margin_used,tp_price,sl_price,risk_reward_ratio,exit_reason,gross_pnl,transaction_cost_total,net_pnl,return_pct,reward_total,reward_pnl_total,reward_transaction_cost_total,reward_drawdown_penalty_total,reward_overtrading_penalty_total,reward_missed_opportunity_penalty_total,reward_wrong_side_penalty_total,reward_tp_bonus_total,reward_sl_penalty_total,portfolio_value_before,portfolio_value_after,max_favorable_excursion,max_adverse_excursion,predicted_log_return_at_entry,signal_strength_at_entry,direction_action_at_entry,size_label_at_entry,risk_profile_at_entry
1,OIL,SHORT,2026-01-30 08:15:00+00:00,2026-01-30 09:00:00+00:00,3,64.51000213623047,64.68000030517578,65.0999984741211,64.4800033569336,0.25,1.0,0.25,2500.0,2500.0,62.67662000656128,65.73225688934326,1.5,AGENT_CLOSE,-6.58805469368591,4.999375000000001,-11.58742969368591,-0.004634971877474364,-0.014290566563242312,-0.000658805469368591,0.0005,0.0,0.01,0.0,0.00013176109387371822,0.0,0.0,10000.0,9988.412570306315,0.0,-0.002635221877474364,0.0,0.0,SHORT,SMALL,CONSERVATIVE
2,OIL,SHORT,2026-01-30 09:45:00+00:00,2026-01-30 11:00:00+00:00,5,64.68000030517578,65.0199966430664,65.06999969482422,64.22000122070312,0.25,1.0,0.25,2497.1031425765786,2500.0,62.84661817550659,65.90225505828857,1.5,AGENT_CLOSE,-13.126251079242332,4.994065186658812,-18.120316265901145,-0.0072565349652333995,-0.015117031139285609,-0.0013153141299847811,0.0005,0.0,0.01,0.0,0.0003017170093008261,0.0,0.0,9988.412570306315,9970.292254040414,0.0007730836660773978,-0.0052565914701057604,0.0,0.0,SHORT,SMALL,CONSERVATIVE
3,OIL,SHORT,2026-01-30 11:45:00+00:00,2026-01-30 17:00:00+00:00,21,65.0199966430664,64.52999877929688,66.11000061035156,64.33999633789062,0.25,1.0,0.25,2492.5663409549525,2500.0,63.18661451339722,65.0199966430664,1.5,AGENT_CLOSE,18.784254774365728,4.9780848020448225,13.806169972320905,0.005538937819015675,-0.008222098428072819,0.0018447934496595357,0.0005,0.0,0.01,0.0,0.0005668918777323543,0.0,0.0,9970.26536381981,9984.07153379213,0.0075361102594240685,-0.010304611395443555,0.0,0.0,SHORT,SMALL,CONSERVATIVE
4,OIL,LONG,2026-01-30 19:00:00+00:00,2026-01-31 00:00:00+00:00,20,65.56999969482422,65.72000122070312,65.91999816894531,64.66999816894531,0.25,1.0,0.25,2495.93380337859,2500.0,66.59248262643814,64.8883444070816,1.5,AGENT_CLOSE,5.709834996828333,4.992674856676691,0.7171601401516412,0.0002873313944387733,-0.008927506651857231,0.0005724933481427697,0.0005,0.0,0.01,0.0,0.0,0.0,0.0,9983.73521351436,9984.45237365451,0.0030501288572977424,0.0,0.0,0.0,LONG,SMALL,CONSERVATIVE
5,OIL,LONG,2026-02-04 07:00:00+00:00,2026-02-04 07:45:00+00:00,3,63.36000061035156,63.36000061035156,63.810001373291016,63.2599983215332,0.25,1.0,0.25,2496.1168680347773,2500.0,64.05964736640453,62.89356943964958,1.5,AGENT_CLOSE,0.0,4.991609706852546,-4.991609706852546,-0.00199975,-0.0105,0.0,0.0005,0.0,0.01,0.0,0.0,0.0,0.0,9984.46747213911,9979.475862432257,0.0,0.0,0.0,0.0,LONG,SMALL,CONSERVATIVE
6,OIL,LONG,2026-02-04 09:00:00+00:00,2026-02-04 10:15:00+00:00,5,63.7400016784668,63.529998779296875,63.790000915527344,63.08000183105469,0.25,1.0,0.25,2494.868965608064,2500.0,64.49288558959961,63.23807907104492,1.5,AGENT_CLOSE,-8.219794509414895,4.987055039068467,-13.206849548483362,-0.005293604486063464,-0.01448840395500429,-0.0008236699625035737,0.0005,0.0,0.01,0.0,0.00016473399250071475,0.0,0.0,9979.475862432257,9966.269012883773,0.0,-0.0032946798500142946,0.0,0.0,LONG,SMALL,CONSERVATIVE
7,OIL,SHORT,2026-02-04 16:15:00+00:00,2026-02-04 17:00:00+00:00,3,63.540000915527344,65.12999725341797,65.52999877929688,63.4900016784668,0.25,1.0,0.25,2491.5630269420376,2500.0,61.706618785858154,64.76225566864014,1.5,SL,-62.347749943035105,4.9825031631273395,-67.33025310616244,-0.02702329918131699,-0.0260070647543951,-0.006255887295329247,0.0005,0.0,0.01,0.0,0.0012511774590658496,0.0,0.005,9966.25210776815,9898.921854661989,0.0,-0.02502354918131699,0.0,0.0,SHORT,SMALL,CONSERVATIVE
8,OIL,SHORT,2026-02-04 17:45:00+00:00,2026-02-04 19:15:00+00:00,6,65.12999725341797,64.2300033569336,65.45999908447266,63.630001068115234,0.25,1.0,0.25,2474.6776829129326,2500.0,63.29661512374878,65.12999725341797,1.5,AGENT_CLOSE,34.1961446999885,4.957381780719231,29.23876291926927,0.011815180264143509,-0.006041966274362279,0.003458033725637722,0.0005,0.0,0.01,0.0,0.0,0.0,0.0,9898.71073165173,9927.949494571,0.013818423682447553,0.0,0.0,0.0,SHORT,SMALL,CONSERVATIVE
9,OIL,SHORT,2026-02-04 20:00:00+00:00,2026-02-04 20:45:00+00:00,3,64.30999755859375,64.30999755859375,64.62999725341797,64.16999816894531,0.25,1.0,0.25,2482.083421781847,2500.0,63.269683837890625,65.0035400390625,1.5,AGENT_CLOSE,-0.0,4.963546322708249,-4.963546322708249,-0.0019997500000000002,-0.0105,0.0,0.0005,0.0,0.01,0.0,0.0,0.0,0.0,9928.333687127388,9923.37014080468,0.0,0.0,0.0,0.0,SHORT,SMALL,CONSERVATIVE
10,OIL,SHORT,2026-02-04 23:00:00+00:00,2026-02-04 23:45:00+00:00,3,64.41999816894531,64.41999816894531,64.6500015258789,64.01000213623047,0.25,1.0,0.25,2480.8425352011695,2500.0,63.42556944489479,65.08295065164566,1.5,AGENT_CLOSE,-0.0,4.961064859768539,-4.961064859768539,-0.0019997500000000002,-0.0105,0.0,0.0005,0.0,0.01,0.0,0.0,0.0,0.0,9923.370140804678,9918.40907594491,0.0,0.0,0.0,0.0,SHORT,SMALL,CONSERVATIVE
