asset,timestamp_utc,price,action,action_name,position_fraction,leverage,effective_position,portfolio_value,step_return,reward,transaction_cost,drawdown,predicted_log_return,signal_strength,in_position,trade_side,entry_time_utc,holding_bars,unrealized_pnl,max_favorable_excursion,max_adverse_excursion,exit_reason,reward_pnl,reward_transaction_cost,reward_drawdown_penalty,reward_overtrading_penalty,reward_missed_opportunity_penalty,reward_wrong_side_penalty,reward_tp_bonus,reward_sl_penalty
BTC,2026-02-11 20:15:00+00:00,67583.7890625,0,HOLD,0.0,1.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,2026-02-11 20:30:00+00:00,67583.7890625,0,HOLD,0.0,1.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,2026-02-11 20:45:00+00:00,67583.7890625,0,HOLD,0.0,1.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,2026-02-11 21:00:00+00:00,67794.1328125,0,HOLD,0.0,1.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,2026-02-11 21:15:00+00:00,67794.1328125,0,HOLD,0.0,1.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,2026-02-11 21:30:00+00:00,67794.1328125,0,HOLD,0.0,1.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,2026-02-11 21:45:00+00:00,67794.1328125,0,HOLD,0.0,1.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,2026-02-11 22:00:00+00:00,67423.765625,0,HOLD,0.0,1.0,0.0,10000.0,-0.0,0.0,0.0,0.0,0.0,0.0,False,0,,0,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,2026-02-11 22:15:00+00:00,67423.765625,2,LONG_SMALL,0.1,1.0,0.1,9999.0,0.0,-0.0021,0.0001,0.0001,0.0,0.0,True,1,2026-02-11 22:15:00+00:00,1,0.0,0.0,0.0,,0.0,0.0001,0.0,0.002,0.0,0.0,0.0,0.0
BTC,2026-02-11 22:30:00+00:00,67423.765625,2,LONG_SMALL,0.1,1.0,0.1,9999.0,0.0,0.0,0.0,0.0001,0.0,0.0,True,1,2026-02-11 22:15:00+00:00,2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,2026-02-11 22:45:00+00:00,67423.765625,2,LONG_SMALL,0.1,1.0,0.1,9999.0,0.0,0.0,0.0,0.0001,0.0,0.0,True,1,2026-02-11 22:15:00+00:00,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,2026-02-11 23:00:00+00:00,66993.1875,7,SHORT_LARGE,-0.5,1.0,-0.5,10024.931338442791,0.003193073844279222,-0.009726233540148701,0.0006,0.0,0.0,0.0,True,-1,2026-02-11 23:00:00+00:00,1,-0.0,0.0,0.0,AGENT_CLOSE,0.003193073844279222,0.0006,0.0,0.012,0.0,0.00031930738442792223,0.0,0.0
