asset,timestamp_utc,open,high,low,close,price,ohlc_source,action,action_name,direction,size_label,risk_profile,position_fraction,leverage_used,effective_position,margin_used,cash_balance,cash,desired_position,executed_position,previous_position,portfolio_value,previous_portfolio_value,portfolio_return,drawdown,in_position,trade_side,trade_id,entry_price,tp_price,sl_price,risk_reward_ratio,entry_time_utc,holding_bars,exit_reason,unrealized_pnl,realized_pnl,step_return,reward_total,transaction_cost,turnover,stop_loss_triggered,take_profit_triggered,max_hold_triggered,max_drawdown_triggered,max_favorable_excursion,max_adverse_excursion,predicted_log_return,signal_strength,reward_pnl,reward_transaction_cost,reward_drawdown_penalty,reward_overtrading_penalty,reward_missed_opportunity_penalty,reward_wrong_side_penalty,reward_tp_bonus,reward_sl_penalty,reward
OIL,2026-01-30 05:15:00+00:00,64.4800033569336,64.4800033569336,64.4800033569336,64.4800033569336,64.4800033569336,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,False,0,0,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-01-30 05:30:00+00:00,64.4800033569336,64.4800033569336,64.4800033569336,64.4800033569336,64.4800033569336,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,False,0,0,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-01-30 05:45:00+00:00,64.4800033569336,64.4800033569336,64.4800033569336,64.4800033569336,64.4800033569336,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,False,0,0,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-01-30 06:00:00+00:00,64.47000122070312,64.48999786376953,63.97999954223633,64.0199966430664,64.0199966430664,raw,"[3,0,0]",SHORT_SMALL_CONSERVATIVE,SHORT,SMALL,CONSERVATIVE,-0.25,1.0,-0.25,2500.0,7515.335246972647,7515.335246972647,-0.25,-0.25,0.0,10015.335246972647,10000.0,0.001533524697264693,0.0,True,-1,1,64.0199966430664,63.07948559522629,64.64700400829315,1.5,2026-01-30 06:00:00+00:00,1,,-0.0,0.0,0.0017835246972646233,-0.003466475302735377,0.00025,0.25,False,False,False,False,0.0,0.0,0.0,0.0,0.0017835246972646233,0.00025,0.0,0.005,0.0,0.0,0.0,0.0,-0.003466475302735377
OIL,2026-01-30 06:15:00+00:00,64.0199966430664,64.0199966430664,64.0199966430664,64.0199966430664,64.0199966430664,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,CONSERVATIVE,-0.25,1.0,-0.25,2500.0,7515.335246972647,7515.335246972647,-0.25,-0.25,-0.25,10015.335246972647,10015.335246972647,0.0,0.0,True,-1,1,64.0199966430664,63.07948559522629,64.64700400829315,1.5,2026-01-30 06:00:00+00:00,2,,-0.0,0.0,-0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-01-30 06:30:00+00:00,64.0199966430664,64.0199966430664,64.0199966430664,64.0199966430664,64.0199966430664,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,CONSERVATIVE,-0.25,1.0,-0.25,2500.0,7515.335246972647,7515.335246972647,-0.25,-0.25,-0.25,10015.335246972647,10015.335246972647,0.0,0.0,True,-1,1,64.0199966430664,63.07948559522629,64.64700400829315,1.5,2026-01-30 06:00:00+00:00,3,,-0.0,0.0,-0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-01-30 06:45:00+00:00,64.0199966430664,64.0199966430664,64.0199966430664,64.0199966430664,64.0199966430664,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,CONSERVATIVE,-0.25,1.0,-0.25,2500.0,7515.335246972647,7515.335246972647,-0.25,-0.25,-0.25,10015.335246972647,10015.335246972647,0.0,0.0,True,-1,1,64.0199966430664,63.07948559522629,64.64700400829315,1.5,2026-01-30 06:00:00+00:00,4,,-0.0,0.0,-0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-01-30 07:00:00+00:00,64.04000091552734,64.38999938964844,64.01000213623047,64.16000366210938,64.16000366210938,raw,"[1,0,0]",FLAT,FLAT,SMALL,,0.0,1.0,0.0,0.0,10012.831413160904,10012.831413160904,0.0,0.0,-0.25,10012.831413160904,10015.335246972647,-0.0002499999999999718,0.0002499999999999718,False,0,1,,,,0.0,,0,AGENT_CLOSE,0.0,-0.0021869263727637514,0.0,-0.005359346318638188,0.00025,0.25,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.00025,0.0,0.005,0.0,0.00010934631863818758,0.0,0.0,-0.005359346318638188
OIL,2026-01-30 07:15:00+00:00,64.16000366210938,64.16000366210938,64.16000366210938,64.16000366210938,64.16000366210938,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,10012.831413160904,10012.831413160904,0.0,0.0,0.0,10012.831413160904,10012.831413160904,0.0,0.0002499999999999718,False,0,1,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-01-30 07:30:00+00:00,64.16000366210938,64.16000366210938,64.16000366210938,64.16000366210938,64.16000366210938,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,10012.831413160904,10012.831413160904,0.0,0.0,0.0,10012.831413160904,10012.831413160904,0.0,0.0002499999999999718,False,0,1,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
